2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 12:00:35,084 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='6f7216ae-27fb-40a5-bac5-e429fb0f2beb', tokenId='fb1dc4fb-bd9f-46ab-acd9-edf58b6b18cb', issuer='jffe@000', subject='admin', expiry=1586694635080, refreshable=true
2020-04-12 12:08:09,394 [AUDIT] Token created by 'jffe@000': tokenId='97190f7a-841e-42df-aac8-fa519b16a7d2', issuer='jffe@000', subject='jffe@000', expiry=1586693889391, refreshable=false
2020-04-12 12:08:09,395 [AUDIT] Token created by 'jffe@000': tokenId='ad4c0182-bce3-4f65-8326-bbe9d04e73e7', issuer='jffe@000', subject='jffe@000', expiry=1586693889391, refreshable=false
2020-04-12 12:08:09,395 [AUDIT] Token created by 'jffe@000': tokenId='ac2b0854-81f0-4e20-80af-209d400aeb5e', issuer='jffe@000', subject='jffe@000', expiry=1586693889392, refreshable=false
2020-04-12 12:08:09,400 [AUDIT] Token created by 'jffe@000': tokenId='71098e00-aff5-47ec-8050-6c07495bc9c6', issuer='jffe@000', subject='jffe@000', expiry=1586693889399, refreshable=false
2020-04-12 12:09:07,991 [AUDIT] Token created by 'jffe@000': tokenId='d1ebecea-0f8b-4d24-8c6b-00adcbc70cd1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586693947988, refreshable=false
2020-04-12 12:18:09,411 [AUDIT] Token created by 'jffe@000': tokenId='98c3c380-cc04-40a8-a17f-ae83563a22d4', issuer='jffe@000', subject='jffe@000', expiry=1586694489405, refreshable=false
2020-04-12 12:18:09,412 [AUDIT] Token created by 'jffe@000': tokenId='0fec312a-e271-41e2-8f36-2dc05ef13e78', issuer='jffe@000', subject='jffe@000', expiry=1586694489407, refreshable=false
2020-04-12 12:18:09,412 [AUDIT] Token created by 'jffe@000': tokenId='7a6d81f4-4fbb-4ab3-9fb4-4fb924203a15', issuer='jffe@000', subject='jffe@000', expiry=1586694489406, refreshable=false
2020-04-12 12:18:09,412 [AUDIT] Token created by 'jffe@000': tokenId='c72fe8bc-3fee-43eb-ac15-ce966067f67d', issuer='jffe@000', subject='jffe@000', expiry=1586694489408, refreshable=false
2020-04-12 12:19:37,488 [AUDIT] Token created by 'anonymous': tokenId='46cd9a9b-c6b1-43f9-83b7-ece4be06f4a5', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 12:19:37,551 [AUDIT] Token revoked by 'anonymous': tokenId='150e1241-870a-4464-ad35-07e144110d31', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 12:19:37,800 [AUDIT] Token created by 'anonymous': tokenId='1c395d4d-95ad-46eb-9712-f05a9162025e', issuer='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', subject='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', expiry=none, refreshable=false
2020-04-12 12:19:37,807 [AUDIT] Token revoked by 'anonymous': tokenId='40d66d74-b82e-4884-92d0-98525dc26536', issuer='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', subject='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', expiry=none, refreshable=false
2020-04-12 12:19:38,139 [AUDIT] Token created by 'anonymous': tokenId='a369c511-dac5-4515-9892-46cecd84ca05', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=none, refreshable=false
